cs_threshold,ucs_threshold,case_label,experiment,condition,condition_tag,cluster,participants,estimate_mean,P(E|C)_pearson,P(E|C)_spearman,P(C|E)_pearson,P(C|E)_spearman,delta_p_pearson,delta_p_spearman,CS_pearson,CS_spearman,UCS_pearson,UCS_spearman,pARIs_pearson,pARIs_spearman,DFH_pearson,DFH_spearman,Dice_pearson,Dice_spearman,CS_diff_pearson,CS_diff_spearman,UCS_diff_pearson,UCS_diff_spearman,CS_ratio_pearson,CS_ratio_spearman,UCS_ratio_pearson,UCS_ratio_spearman,CS_single_pearson,CS_single_spearman,UCS_single_pearson,UCS_single_spearman
0.3,0.3,Cond1_ex2,Online,Symmetric,Symmetric_Online,Cluster1,17,47.118,-0.636,-0.627,0.661,0.698,0.693,0.683,-0.382,-0.309,0.667,0.683,0.205,0.206,0.133,0.134,0.205,0.206,-0.594,-0.563,-0.639,-0.683,0.505,0.388,0.694,0.683,-0.576,-0.563,-0.603,-0.563
0.3,0.3,Cond1_ex2,Online,Symmetric,Symmetric_Online,Cluster2,21,20.976,-0.51,-0.588,0.482,0.644,0.519,0.637,-0.396,-0.381,0.502,0.637,0.081,0.153,-0.028,-0.014,0.081,0.153,-0.496,-0.548,-0.447,-0.637,0.344,0.336,0.498,0.637,-0.49,-0.548,-0.504,-0.548
0.3,0.3,Cond0_ex1,Summary,Asymmetric,Asymmetric_Summary,Cluster1,10,52.783,-0.009,0.085,0.052,0.115,0.188,0.129,0.148,0.227,0.135,0.129,0.552,0.55,0.301,0.286,0.552,0.55,,,,,,,,,,,,
0.3,0.3,Cond0_ex1,Summary,Asymmetric,Asymmetric_Summary,Cluster2,29,40.914,-0.777,-0.677,0.715,0.776,0.807,0.783,-0.63,-0.474,0.776,0.783,0.194,0.229,-0.058,-0.09,0.194,0.229,,,,,,,,,,,,
0.3,0.3,Cond1_ex1,Summary,Symmetric,Symmetric_Summary,Cluster1,26,43.596,-0.879,-0.778,0.811,0.85,0.893,0.844,-0.715,-0.523,0.858,0.844,0.133,0.175,-0.095,-0.06,0.133,0.175,-0.856,-0.741,-0.752,-0.844,0.557,0.446,0.862,0.844,-0.848,-0.741,-0.872,-0.741
0.3,0.3,Cond1_ex1,Summary,Symmetric,Symmetric_Summary,Cluster2,5,39.233,-0.178,-0.188,0.208,0.347,0.332,0.369,0.007,-0.025,0.259,0.369,0.471,0.495,0.242,0.192,0.471,0.495,-0.101,-0.079,-0.253,-0.369,0.077,0.008,0.426,0.369,-0.08,-0.079,-0.131,-0.079
0.2,0.2,Cond0_ex2,Online,Asymmetric,Asymmetric_Online,Cluster1,9,55.389,0.338,0.316,-0.249,-0.242,-0.28,-0.223,0.395,0.374,-0.26,-0.223,0.165,0.198,0.254,0.269,0.165,0.198,,,,,,,,,,,,
0.2,0.2,Cond0_ex2,Online,Asymmetric,Asymmetric_Online,Cluster2,27,26.877,-0.478,-0.456,0.387,0.483,0.5,0.487,-0.447,-0.414,0.445,0.487,0.11,0.116,-0.154,-0.148,0.11,0.116,,,,,,,,,,,,
0.2,0.2,Cond1_ex2,Online,Symmetric,Symmetric_Online,Cluster1,17,47.118,-0.636,-0.627,0.661,0.698,0.693,0.683,-0.458,-0.475,0.655,0.683,0.205,0.206,0.133,0.134,0.205,0.206,-0.579,-0.563,-0.656,-0.683,0.53,0.388,0.699,0.683,-0.562,-0.563,-0.614,-0.563
0.2,0.2,Cond1_ex2,Online,Symmetric,Symmetric_Online,Cluster2,21,20.976,-0.51,-0.588,0.482,0.644,0.519,0.637,-0.437,-0.484,0.502,0.637,0.081,0.153,-0.028,-0.014,0.081,0.153,-0.486,-0.548,-0.48,-0.637,0.367,0.336,0.502,0.637,-0.48,-0.548,-0.509,-0.548
0.2,0.2,Cond0_ex1,Summary,Asymmetric,Asymmetric_Summary,Cluster1,10,52.783,-0.009,0.085,0.052,0.115,0.188,0.129,0.167,0.239,0.134,0.129,0.552,0.55,0.301,0.286,0.552,0.55,,,,,,,,,,,,
0.2,0.2,Cond0_ex1,Summary,Asymmetric,Asymmetric_Summary,Cluster2,29,40.914,-0.777,-0.677,0.715,0.776,0.807,0.783,-0.673,-0.558,0.78,0.783,0.194,0.229,-0.058,-0.09,0.194,0.229,,,,,,,,,,,,
0.2,0.2,Cond1_ex1,Summary,Symmetric,Symmetric_Summary,Cluster1,26,43.596,-0.879,-0.778,0.811,0.85,0.893,0.844,-0.774,-0.651,0.857,0.844,0.133,0.175,-0.095,-0.06,0.133,0.175,-0.84,-0.741,-0.812,-0.844,0.594,0.446,0.86,0.844,-0.832,-0.741,-0.878,-0.741
0.2,0.2,Cond1_ex1,Summary,Symmetric,Symmetric_Summary,Cluster2,5,39.233,-0.178,-0.188,0.208,0.347,0.332,0.369,0.002,-0.035,0.307,0.369,0.471,0.495,0.242,0.192,0.471,0.495,-0.076,-0.079,-0.246,-0.369,0.091,0.008,0.43,0.369,-0.059,-0.079,-0.149,-0.079
0.1,0.1,Cond0_ex2,Online,Asymmetric,Asymmetric_Online,Cluster1,9,55.389,0.338,0.316,-0.249,-0.242,-0.28,-0.223,0.388,0.374,-0.259,-0.223,0.165,0.198,0.254,0.269,0.165,0.198,,,,,,,,,,,,
0.1,0.1,Cond0_ex2,Online,Asymmetric,Asymmetric_Online,Cluster2,27,26.877,-0.478,-0.456,0.387,0.483,0.5,0.487,-0.418,-0.414,0.476,0.487,0.11,0.116,-0.154,-0.148,0.11,0.116,,,,,,,,,,,,
0.1,0.1,Cond1_ex2,Online,Symmetric,Symmetric_Online,Cluster1,17,47.118,-0.636,-0.627,0.661,0.698,0.693,0.683,-0.466,-0.475,0.56,0.496,0.205,0.206,0.133,0.134,0.205,0.206,-0.547,-0.563,-0.667,-0.683,0.548,0.27,0.694,0.683,-0.53,-0.563,-0.621,-0.563
