cs_threshold,ucs_threshold,case_label,experiment,condition,condition_tag,cluster,participants,estimate_mean,P(E|C)_pearson,P(E|C)_spearman,P(C|E)_pearson,P(C|E)_spearman,delta_p_pearson,delta_p_spearman,CS_pearson,CS_spearman,UCS_pearson,UCS_spearman,pARIs_pearson,pARIs_spearman,DFH_pearson,DFH_spearman,Dice_pearson,Dice_spearman,CS_diff_pearson,CS_diff_spearman,UCS_diff_pearson,UCS_diff_spearman,CS_ratio_pearson,CS_ratio_spearman,UCS_ratio_pearson,UCS_ratio_spearman,CS_single_pearson,CS_single_spearman,UCS_single_pearson,UCS_single_spearman
0.6,0.6,Cond1_ex1,Summary,Symmetric,Symmetric_Summary,Cluster1,26.0,43.596,-0.879,-0.778,0.811,0.85,0.893,0.844,0.099,0.307,0.821,0.844,0.133,0.175,-0.095,-0.06,0.133,0.175,-0.882,-0.741,0.877,0.844,0.033,0.476,-0.474,0.027,-0.872,-0.741,-0.866,-0.741
0.6,0.6,Cond1_ex1,Summary,Symmetric,Symmetric_Summary,Cluster2,5.0,39.233,-0.178,-0.188,0.208,0.347,0.332,0.369,0.14,0.165,0.241,0.369,0.471,0.495,0.242,0.192,0.471,0.495,-0.153,-0.079,0.201,0.369,0.017,0.093,-0.646,-0.48,-0.121,-0.079,-0.117,-0.079
0.5,0.5,Cond0_ex2,Online,Asymmetric,Asymmetric_Online,Cluster1,9.0,55.389,0.338,0.316,-0.249,-0.242,-0.28,-0.223,0.256,0.331,-0.241,-0.223,0.165,0.198,0.254,0.269,0.165,0.198,,,,,,,,,,,,
0.5,0.5,Cond0_ex2,Online,Asymmetric,Asymmetric_Online,Cluster2,27.0,26.877,-0.478,-0.456,0.387,0.483,0.5,0.487,-0.248,-0.257,0.426,0.487,0.11,0.116,-0.154,-0.148,0.11,0.116,,,,,,,,,,,,
0.5,0.5,Cond1_ex2,Online,Symmetric,Symmetric_Online,Cluster1,17.0,47.118,-0.636,-0.627,0.661,0.698,0.693,0.683,0.037,-0.025,0.661,0.683,0.205,0.206,0.133,0.134,0.205,0.206,-0.608,-0.563,0.382,0.332,0.129,0.262,0.649,0.683,-0.586,-0.563,-0.593,-0.563
0.5,0.5,Cond1_ex2,Online,Symmetric,Symmetric_Online,Cluster2,21.0,20.976,-0.51,-0.588,0.482,0.644,0.519,0.637,-0.098,-0.161,0.498,0.637,0.081,0.153,-0.028,-0.014,0.081,0.153,-0.506,-0.548,0.387,0.411,0.018,0.164,0.429,0.637,-0.499,-0.548,-0.499,-0.548
0.5,0.5,Cond0_ex1,Summary,Asymmetric,Asymmetric_Summary,Cluster1,10.0,52.783,-0.009,0.085,0.052,0.115,0.188,0.129,0.116,0.285,0.115,0.129,0.552,0.55,0.301,0.286,0.552,0.55,,,,,,,,,,,,
0.5,0.5,Cond0_ex1,Summary,Asymmetric,Asymmetric_Summary,Cluster2,29.0,40.914,-0.777,-0.677,0.715,0.776,0.807,0.783,-0.217,-0.267,0.765,0.783,0.194,0.229,-0.058,-0.09,0.194,0.229,,,,,,,,,,,,
0.5,0.5,Cond1_ex1,Summary,Symmetric,Symmetric_Summary,Cluster1,26.0,43.596,-0.879,-0.778,0.811,0.85,0.893,0.844,-0.232,-0.256,0.846,0.844,0.133,0.175,-0.095,-0.06,0.133,0.175,-0.876,-0.741,0.708,0.537,-0.031,0.217,0.749,0.844,-0.868,-0.741,-0.865,-0.741
0.5,0.5,Cond1_ex1,Summary,Symmetric,Symmetric_Summary,Cluster2,5.0,39.233,-0.178,-0.188,0.208,0.347,0.332,0.369,0.096,0.13,0.263,0.369,0.471,0.495,0.242,0.192,0.471,0.495,-0.139,-0.079,0.141,0.137,-0.033,-0.07,0.532,0.369,-0.115,-0.079,-0.114,-0.079
0.4,0.4,Cond0_ex2,Online,Asymmetric,Asymmetric_Online,Cluster1,9.0,55.389,0.338,0.316,-0.249,-0.242,-0.28,-0.223,0.355,0.359,-0.246,-0.223,0.165,0.198,0.254,0.269,0.165,0.198,,,,,,,,,,,,
0.4,0.4,Cond0_ex2,Online,Asymmetric,Asymmetric_Online,Cluster2,27.0,26.877,-0.478,-0.456,0.387,0.483,0.5,0.487,-0.389,-0.412,0.436,0.487,0.11,0.116,-0.154,-0.148,0.11,0.116,,,,,,,,,,,,
0.4,0.4,Cond1_ex2,Online,Symmetric,Symmetric_Online,Cluster1,17.0,47.118,-0.636,-0.627,0.661,0.698,0.693,0.683,-0.213,-0.231,0.664,0.683,0.205,0.206,0.133,0.134,0.205,0.206,-0.6,-0.563,-0.505,-0.392,0.423,0.27,0.677,0.683,-0.583,-0.563,-0.601,-0.563
0.4,0.4,Cond1_ex2,Online,Symmetric,Symmetric_Online,Cluster2,21.0,20.976,-0.51,-0.588,0.482,0.644,0.519,0.637,-0.285,-0.343,0.502,0.637,0.081,0.153,-0.028,-0.014,0.081,0.153,-0.501,-0.548,-0.307,-0.249,0.267,0.218,0.476,0.637,-0.496,-0.548,-0.502,-0.548
0.4,0.4,Cond0_ex1,Summary,Asymmetric,Asymmetric_Summary,Cluster1,10.0,52.783,-0.009,0.085,0.052,0.115,0.188,0.129,0.131,0.168,0.119,0.129,0.552,0.55,0.301,0.286,0.552,0.55,,,,,,,,,,,,
0.4,0.4,Cond0_ex1,Summary,Asymmetric,Asymmetric_Summary,Cluster2,29.0,40.914,-0.777,-0.677,0.715,0.776,0.807,0.783,-0.478,-0.482,0.775,0.783,0.194,0.229,-0.058,-0.09,0.194,0.229,,,,,,,,,,,,
0.4,0.4,Cond1_ex1,Summary,Symmetric,Symmetric_Summary,Cluster1,26.0,43.596,-0.879,-0.778,0.811,0.85,0.893,0.844,-0.535,-0.485,0.855,0.844,0.133,0.175,-0.095,-0.06,0.133,0.175,-0.866,-0.741,-0.465,-0.307,0.412,0.306,0.83,0.844,-0.859,-0.741,-0.865,-0.741
0.4,0.4,Cond1_ex1,Summary,Symmetric,Symmetric_Summary,Cluster2,5.0,39.233,-0.178,-0.188,0.208,0.347,0.332,0.369,0.041,-0.059,0.271,0.369,0.471,0.495,0.242,0.192,0.471,0.495,-0.118,-0.079,-0.202,-0.165,0.04,-0.137,0.463,0.369,-0.099,-0.079,-0.112,-0.079
0.3,0.3,Cond0_ex2,Online,Asymmetric,Asymmetric_Online,Cluster1,9.0,55.389,0.338,0.316,-0.249,-0.242,-0.28,-0.223,0.394,0.384,-0.244,-0.223,0.165,0.198,0.254,0.269,0.165,0.198,,,,,,,,,,,,
0.3,0.3,Cond0_ex2,Online,Asymmetric,Asymmetric_Online,Cluster2,27.0,26.877,-0.478,-0.456,0.387,0.483,0.5,0.487,-0.445,-0.41,0.441,0.487,0.11,0.116,-0.154,-0.148,0.11,0.116,,,,,,,,,,,,
0.3,0.3,Cond1_ex2,Online,Symmetric,Symmetric_Online,Cluster1,17.0,47.118,-0.636,-0.627,0.661,0.698,0.693,0.683,-0.381,-0.309,0.669,0.683,0.205,0.206,0.133,0.134,0.205,0.206,-0.594,-0.563,-0.628,-0.683,0.505,0.388,0.693,0.683,-0.576,-0.563,-0.608,-0.563
0.3,0.3,Cond1_ex2,Online,Symmetric,Symmetric_Online,Cluster2,21.0,20.976,-0.51,-0.588,0.482,0.644,0.519,0.637,-0.396,-0.381,0.503,0.637,0.081,0.153,-0.028,-0.014,0.081,0.153,-0.496,-0.548,-0.443,-0.637,0.346,0.336,0.494,0.637,-0.49,-0.548,-0.506,-0.548
0.3,0.3,Cond0_ex1,Summary,Asymmetric,Asymmetric_Summary,Cluster1,10.0,52.783,-0.009,0.085,0.052,0.115,0.188,0.129,0.149,0.227,0.132,0.129,0.552,0.55,0.301,0.286,0.552,0.55,,,,,,,,,,,,
0.3,0.3,Cond0_ex1,Summary,Asymmetric,Asymmetric_Summary,Cluster2,29.0,40.914,-0.777,-0.677,0.715,0.776,0.807,0.783,-0.627,-0.474,0.78,0.783,0.194,0.229,-0.058,-0.09,0.194,0.229,,,,,,,,,,,,
0.3,0.3,Cond1_ex1,Summary,Symmetric,Symmetric_Summary,Cluster1,26.0,43.596,-0.879,-0.778,0.811,0.85,0.893,0.844,-0.714,-0.523,0.855,0.844,0.133,0.175,-0.095,-0.06,0.133,0.175,-0.856,-0.741,-0.75,-0.844,0.553,0.446,0.853,0.844,-0.848,-0.741,-0.871,-0.741
0.3,0.3,Cond1_ex1,Summary,Symmetric,Symmetric_Summary,Cluster2,5.0,39.233,-0.178,-0.188,0.208,0.347,0.332,0.369,0.01,-0.025,0.256,0.369,0.471,0.495,0.242,0.192,0.471,0.495,-0.103,-0.079,-0.253,-0.369,0.078,0.008,0.441,0.369,-0.081,-0.079,-0.128,-0.079
