user_id,Cond,ex1_cover_story,ex1_a,ex1_b,ex1_c,ex1_d,ex1_estimate,ex1_is_first,ex1_sample_number,ex1_timestamp,order,ex2_cover_story,ex2_a,ex2_b,ex2_c,ex2_d,ex2_estimate,ex2_is_first,ex2_is_symmetric,ex2_sample_number,ex2_timestamp,imc_pass,crt_correct_cnt,CS_1.0,UCS_1.0,CS_0.7,UCS_0.7,CS_0.5,UCS_0.5,CS_0.2,UCS_0.2,CS_0.1,UCS_0.1,2_CS_1.0,2_UCS_1.0,2_CS_0.7,2_UCS_0.7,2_CS_0.5,2_UCS_0.5,2_CS_0.2,2_UCS_0.2,2_CS_0.1,2_UCS_0.1
mcll4qx9fuj8krv92g.wee,1,7,6,0,6,0,0,0,3,2025/7/2 15:47,4,1,6,6,0,12,80,1,1,24,2025/7/2 15:43,1,1,-2.09098,-0.9665,-1.95555,-1.47514,-1.91908,-1.5885,-2.07501,-1.80443,-2.02783,-1.98595,3.146122,3.423914,3.239093,3.56564,3.123869,3.318207,4.61492,5.575079,7.507263,8.72113
mcll4qx9fuj8krv92g.wee,1,4,6,6,0,12,90,0,1,2025/7/2 15:47,5,6,7,3,3,7,60,1,1,20,2025/7/2 15:44,1,2,3.140066,3.577039,3.171231,3.533342,3.130429,3.322716,4.561632,5.471761,7.470112,8.831563,1.183637,1.373484,1.197025,1.406071,1.745102,1.998366,6.027813,6.256651,10.40735,10.55175
mcll4qx9fuj8krv92g.wee,1,2,6,3,3,6,50,0,2,2025/7/2 15:47,6,9,7,0,6,1,20,1,1,14,2025/7/2 15:45,1,2,0.654327,0.800547,0.68712,0.834692,1.183541,1.378758,4.760175,5.019898,8.477662,8.42899,0.704237,0.445822,2.162245,0.698896,4.084863,1.572989,10.08061,6.254692,14.80499,10.47893
mcll4rmr92dljfi9xm.p77,0,8,7,6,0,13,80,1,4,2025/7/2 15:38,1,6,6,6,0,12,45,0,0,24,2025/7/2 15:42,1,3,4.050203,4.417191,4.015411,4.43643,4.004544,4.197997,5.811796,7.013128,9.253403,10.72076,3.157617,3.59244,3.207845,3.539372,3.214137,3.403406,4.582982,5.552978,7.491214,8.777586
mcll4rmr92dljfi9xm.p77,0,7,6,3,3,6,5,1,2,2025/7/2 15:39,2,1,6,0,6,0,15,0,0,12,2025/7/2 15:42,1,3,0.632513,0.85953,0.658085,0.824663,1.107634,1.377232,4.745065,5.008356,8.43456,8.377864,0.311747,-0.09055,1.760168,0.266686,3.367889,0.996513,8.513172,4.902331,12.5885,8.489461
mcll4rmr92dljfi9xm.p77,0,10,6,6,0,12,50,1,1,2025/7/2 15:39,3,4,7,6,0,13,65,0,0,26,2025/7/2 15:44,1,1,3.167264,3.526674,3.122587,3.456761,3.072652,3.406024,4.551494,5.497357,7.406139,8.743132,4.141904,4.257381,4.024821,4.391156,4.059213,4.137714,5.849427,6.92356,9.323253,10.79679
mcll4rmr92dljfi9xm.p77,0,2,6,0,6,0,10,1,3,2025/7/2 15:40,4,11,6,3,3,6,10,0,0,18,2025/7/2 15:44,1,2,0.312992,0.00334,1.748422,0.281794,3.38601,1.131442,8.516626,4.908492,12.53713,8.556646,0.637124,0.794718,0.672595,0.843698,1.135402,1.370705,4.851492,4.880715,8.449819,8.461215
mcll4rmr92dljfi9xm.p77,0,5,7,0,6,1,10,1,6,2025/7/2 15:40,5,3,7,0,6,1,10,0,0,14,2025/7/2 15:45,1,3,0.704354,0.456446,2.151695,0.659824,4.038666,1.631721,10.16483,6.017713,14.76723,10.50776,0.721113,0.445779,2.164787,0.665126,4.089942,1.654491,10.07572,6.191903,14.76779,10.37659
mcll4rmr92dljfi9xm.p77,0,12,7,3,3,7,60,1,5,2025/7/2 15:40,6,9,7,3,3,7,20,0,0,20,2025/7/2 15:46,1,3,1.169519,1.401461,1.198069,1.456254,1.687651,2.077077,6.054783,6.177261,10.42791,10.48117,1.199082,1.402405,1.234292,1.411258,1.748081,2.047063,6.081808,6.235697,10.45776,10.55203
mcll50bcy1zv872u86.lll,1,5,6,0,6,0,0,0,3,2025/7/2 15:45,1,9,7,0,6,1,40,1,1,14,2025/7/2 15:39,1,3,-2.015,-0.94761,-1.9301,-1.53384,-1.82115,-1.88169,-1.98287,-1.85183,-1.81731,-2.0464,0.699757,0.343144,2.138372,0.669043,4.043778,1.590002,10.16293,6.165084,14.80709,10.37796
mcll50bcy1zv872u86.lll,1,1,6,3,3,6,60,0,2,2025/7/2 15:46,2,6,6,3,3,6,30,1,1,18,2025/7/2 15:41,1,3,0.620182,0.780984,0.67916,0.823748,1.181062,1.340872,4.82263,5.003918,8.529149,8.430303,0.643275,0.80336,0.671555,0.796351,1.13806,1.364168,4.808828,4.999728,8.454592,8.465939
mcll50bcy1zv872u86.lll,1,3,7,3,3,7,70,0,5,2025/7/2 15:46,3,11,6,0,6,0,0,1,1,12,2025/7/2 15:41,1,3,1.209987,1.412623,1.17916,1.348055,1.767285,2.05196,6.044616,6.271822,10.36966,10.45505,-1.88375,-1.12437,-1.89074,-1.57079,-1.92314,-1.76304,-1.72237,-1.99619,-1.95025,-2.15796
mcll50bcy1zv872u86.lll,1,8,7,6,0,13,70,0,4,2025/7/2 15:47,4,10,7,3,3,7,40,1,1,20,2025/7/2 15:42,1,1,4.065518,4.326737,4.107515,4.305621,4.017335,4.133728,5.893477,6.833991,9.359934,10.87425,1.256413,1.371636,1.221676,1.371993,1.703675,1.975533,6.091454,6.3187,10.38626,10.4968
mcll50bcy1zv872u86.lll,1,12,7,0,6,1,90,0,6,2025/7/2 15:47,5,4,7,6,0,13,20,1,1,26,2025/7/2 15:44,1,2,0.68925,0.397433,2.177136,0.61667,4.034021,1.685133,10.03456,6.199406,14.79598,10.3207,4.002171,4.337681,4.003171,4.344077,4.118616,4.208212,5.786783,6.830766,9.214706,10.72844
mcll50bcy1zv872u86.lll,1,2,6,6,0,12,50,0,1,2025/7/2 15:47,6,7,6,6,0,12,20,1,1,24,2025/7/2 15:45,1,3,3.045686,3.624187,3.127963,3.525731,3.151734,3.372184,4.595789,5.508358,7.427734,8.785538,3.243122,3.457418,3.176389,3.470001,3.236272,3.345701,4.663963,5.525541,7.482072,8.755648
mcll52ujpq0yf77ww4,1,2,6,3,3,6,29,0,2,2025/7/2 15:45,1,9,7,3,3,7,70,1,1,20,2025/7/2 15:40,1,3,0.6662,0.832014,0.683335,0.832917,1.148434,1.309097,4.736873,4.944532,8.39338,8.458458,1.196993,1.364575,1.274796,1.445096,1.774203,1.95961,6.054363,6.240052,10.37995,10.47199
mcll52ujpq0yf77ww4,1,4,7,6,0,13,-18,0,4,2025/7/2 15:45,2,8,7,0,6,1,13,1,1,14,2025/7/2 15:41,1,2,-1.78977,-1.82255,-1.78269,-1.86368,-1.75872,-1.94054,-1.98908,-2.10415,-1.8625,-2.08245,0.650163,0.464775,2.13843,0.613875,4.076768,1.61485,9.964882,6.22113,14.94358,10.29973
mcll52ujpq0yf77ww4,1,12,6,6,0,12,25,0,1,2025/7/2 15:45,3,5,6,0,6,0,-5,1,1,12,2025/7/2 15:42,1,2,3.079892,3.688459,3.18225,3.51977,3.159184,3.361811,4.586497,5.591038,7.409179,8.744203,-1.77256,-1.17281,-1.90148,-1.65718,-2.04472,-1.57252,-1.99688,-2.03637,-1.90781,-2.07456
mcll52ujpq0yf77ww4,1,6,7,3,3,7,33,0,5,2025/7/2 15:46,4,10,6,3,3,6,39,1,1,18,2025/7/2 15:43,1,3,1.267293,1.381267,1.185454,1.433819,1.715232,2.03809,6.090473,6.3105,10.39097,10.44718,0.61719,0.864724,0.676101,0.877392,1.169029,1.384966,4.784486,4.978188,8.469739,8.572398
mcll52ujpq0yf77ww4,1,3,6,0,6,0,5,0,3,2025/7/2 15:46,5,11,6,6,0,12,76,1,1,24,2025/7/2 15:44,1,3,0.308361,0.066523,1.703055,0.284312,3.418847,1.061483,8.575118,4.849523,12.64593,8.58315,3.069499,3.688369,3.159613,3.446902,3.14919,3.403087,4.569897,5.552516,7.489718,8.823735
mcll52ujpq0yf77ww4,1,1,7,0,6,1,21,0,6,2025/7/2 15:46,6,7,7,6,0,13,24,1,1,26,2025/7/2 15:45,1,1,0.676563,0.436966,2.132154,0.766918,4.169659,1.644291,10.03907,6.253727,14.81783,10.36777,4.155613,4.276609,3.957929,4.442623,4.107709,4.234839,5.775664,6.976484,9.323864,10.82565
mcll5335u98sk4zlq7,0,3,7,3,3,7,60,1,5,2025/7/2 15:39,1,11,7,3,3,7,60,0,0,20,2025/7/2 15:43,1,1,1.202788,1.369332,1.177704,1.419175,1.737502,1.98089,6.14785,6.272543,10.43063,10.46987,1.207354,1.385632,1.206773,1.393762,1.76068,2.007127,6.142578,6.237588,10.46608,10.31631
mcll5335u98sk4zlq7,0,4,7,6,0,13,100,1,4,2025/7/2 15:39,2,1,6,6,0,12,80,0,0,24,2025/7/2 15:44,1,2,3.931193,4.419296,4.159123,4.352443,4.048852,4.153669,5.867292,6.938951,9.294752,10.70965,3.16244,3.509772,3.127802,3.535453,3.121909,3.39721,4.636871,5.506827,7.474076,8.733148
mcll5335u98sk4zlq7,0,12,6,6,0,12,50,1,1,2025/7/2 15:40,3,7,6,0,6,0,0,0,0,12,2025/7/2 15:45,1,3,3.081833,3.679839,3.107903,3.518964,3.149492,3.384637,4.603865,5.466608,7.485268,8.836121,-1.96076,-0.88744,-1.78594,-1.48081,-2.04977,-1.7161,-1.98187,-1.99715,-2.09497,-1.77129
mcll5335u98sk4zlq7,0,2,6,0,6,0,0,1,3,2025/7/2 15:40,4,9,6,3,3,6,30,0,0,18,2025/7/2 15:46,1,3,-1.94175,-0.98125,-1.88348,-1.47694,-1.95912,-1.58232,-1.99861,-2.10059,-1.85191,-1.93632,0.639824,0.798597,0.666985,0.834077,1.149744,1.344369,4.794227,4.984597,8.38088,8.407819
mcll5335u98sk4zlq7,0,8,6,3,3,6,50,1,2,2025/7/2 15:40,5,5,7,6,0,13,80,0,0,26,2025/7/2 15:47,1,2,0.655949,0.814826,0.690697,0.844353,1.132694,1.35601,4.760501,4.976739,8.366195,8.477906,4.023468,4.406196,4.106133,4.342579,4.082746,4.115162,5.908863,7.056263,9.283794,10.70176
mcll5335u98sk4zlq7,0,10,7,0,6,1,2,1,6,2025/7/2 15:41,6,6,7,0,6,1,5,0,0,14,2025/7/2 15:48,1,3,0.680183,0.431088,2.116606,0.729381,4.129125,1.658352,10.10778,6.233888,14.83202,10.4999,0.707451,0.411021,2.110792,0.658337,4.152799,1.59971,10.01388,6.210207,14.71241,10.62411
mcll53kpea68dgzp2d.p77,0,3,6,3,3,6,61,1,2,2025/7/2 15:39,1,8,7,0,6,1,47,0,0,14,2025/7/2 15:42,1,3,0.651883,0.838143,0.650034,0.832566,1.106819,1.316593,4.814474,4.906321,8.442512,8.51659,0.697341,0.491756,2.158914,0.683752,4.117269,1.661551,9.943317,6.153173,14.80764,10.43901
mcll53kpea68dgzp2d.p77,0,1,6,0,6,0,0,1,3,2025/7/2 15:40,2,12,6,3,3,6,0,0,0,18,2025/7/2 15:43,1,3,-1.84203,-1.00312,-2.04813,-1.48072,-1.96758,-1.7704,-1.92181,-1.75498,-1.86696,-1.73047,-1.47867,-1.37883,-1.56822,-1.48325,-1.71393,-1.72417,-1.7696,-1.72945,-1.93889,-1.81237
mcll53kpea68dgzp2d.p77,0,5,7,0,6,1,83,1,6,2025/7/2 15:40,3,2,7,3,3,7,46,0,0,20,2025/7/2 15:44,1,1,0.675831,0.385243,2.133776,0.6548,4.021023,1.621271,10.06354,6.247812,14.83345,10.20014,1.189021,1.31911,1.237187,1.439905,1.743613,1.993194,6.098876,6.278923,10.39787,10.50452
mcll53kpea68dgzp2d.p77,0,4,7,3,3,7,62,1,5,2025/7/2 15:40,4,11,6,0,6,0,0,0,0,12,2025/7/2 15:45,1,3,1.158774,1.373666,1.183899,1.430776,1.730345,2.004314,6.049754,6.314582,10.39764,10.38492,-1.92094,-1.0023,-1.96015,-1.44766,-1.96488,-1.52524,-2.12008,-1.97053,-2.04072,-1.88247
mcll53kpea68dgzp2d.p77,0,9,7,6,0,13,39,1,4,2025/7/2 15:41,5,10,7,6,0,13,40,0,0,26,2025/7/2 15:46,1,3,3.98308,4.566119,4.014523,4.307417,4.012334,4.236943,5.765588,7.020876,9.246554,10.74228,4.054761,4.463989,4.179578,4.38686,4.081659,4.208096,5.840082,6.844623,9.306657,10.86952
