user_id,Cond,ex1_cover_story,ex1_a,ex1_b,ex1_c,ex1_d,ex1_estimate,ex1_is_first,ex1_sample_number,ex1_timestamp,order,ex2_cover_story,ex2_a,ex2_b,ex2_c,ex2_d,ex2_estimate,ex2_is_first,ex2_is_symmetric,ex2_sample_number,ex2_timestamp,imc_pass,crt_correct_cnt,CS_1.0,UCS_1.0,CS_0.7,UCS_0.7,CS_0.5,UCS_0.5,CS_0.2,UCS_0.2,CS_0.1,UCS_0.1,2_CS_1.0,2_UCS_1.0,2_CS_0.7,2_UCS_0.7,2_CS_0.5,2_UCS_0.5,2_CS_0.2,2_UCS_0.2,2_CS_0.1,2_UCS_0.1
mcllggn3tj8budljfi,0,11,7,0,6,1,0,0,6,2025-07-02 15:56:00,3,3,7,3,3,7,0,1,0,20,2025-07-02 15:51:00,0.0,,3.923137,4.540156,4.065044,4.367555,4.092352,4.049417,5.751174,6.916864,9.34881,10.74336,1.138328,1.383764,1.216965,1.420585,1.738452,2.052272,6.052612,6.408532,10.40599,10.45142
mcllggn3tj8budljfi,0,6,7,6,0,13,50,0,4,2025-07-02 15:56:00,4,12,6,6,0,12,15,1,0,24,2025-07-02 15:52:00,0.0,,3.205364,3.642691,3.182818,3.612064,3.092223,3.290535,4.60461,5.470066,7.43336,8.788963,0.686072,0.275881,2.169728,0.628299,4.123882,1.634082,10.03625,6.139569,14.75403,10.56892
mcllggn3tj8budljfi,0,9,6,0,6,0,0,0,3,2025-07-02 15:57:00,5,4,7,0,6,1,0,1,0,14,2025-07-02 15:53:00,0.0,,1.1968,1.366579,1.211812,1.363701,1.735348,2.073332,6.098067,6.390742,10.44163,10.5084,0.276446,-0.00282,1.735889,0.376343,3.4094,1.048916,8.489276,4.997,12.5128,8.533702
mcllggn3tj8budljfi,0,1,6,3,3,6,20,0,2,2025-07-02 15:57:00,6,5,6,3,3,6,0,1,0,18,2025-07-02 15:54:00,0.0,,0.692205,0.822904,0.694616,0.877063,1.106731,1.360663,4.802929,5.086252,8.423746,8.696259,0.648887,0.784757,0.644528,0.851102,1.152683,1.456347,4.786449,4.928463,8.456646,8.561099
mcllpifgvj82skgv0j,1,11,7,6,0,13,70,1,4,2025-07-02 15:54:00,1,4,6,6,0,12,21,0,1,24,2025-07-02 15:57:00,0.0,,4.213533,4.436693,4.007082,4.210818,4.037163,4.239859,5.865258,6.924492,9.230558,10.80695,0.639921,0.809363,0.661814,0.80393,1.13486,1.383562,4.748161,4.946776,8.408761,8.412468
mcllpifgvj82skgv0j,1,2,6,0,6,0,1,1,3,2025-07-02 15:54:00,2,8,6,3,3,6,72,0,1,18,2025-07-02 15:58:00,0.0,,3.171548,3.544944,3.071559,3.494299,3.116295,3.337961,4.529462,5.547874,7.494686,8.720148,3.238019,3.649632,3.215425,3.488691,3.099453,3.380684,4.660097,5.526671,7.442121,8.76186
mcllpifgvj82skgv0j,1,9,7,3,3,7,55,1,5,2025-07-02 15:55:00,3,6,6,0,6,0,0,0,1,12,2025-07-02 15:58:00,0.0,,0.682336,0.423972,2.159747,0.711909,4.073597,1.675705,10.1772,6.230363,14.81734,10.49678,1.114551,1.378839,1.211456,1.445848,1.720411,1.98043,6.081251,6.369143,10.41573,10.32594
mcllpifgvj82skgv0j,1,12,6,6,0,12,59,1,1,2025-07-02 15:55:00,4,1,7,6,0,13,70,0,1,26,2025-07-02 15:59:00,0.0,,1.19319,1.377695,1.207077,1.421325,1.760654,2.056341,6.061761,6.323175,10.46737,10.45821,0.682157,0.454254,2.077887,0.68846,4.052206,1.584185,10.07362,6.118194,14.87709,10.55052
mcllpifgvj82skgv0j,1,3,6,3,3,6,48,1,2,2025-07-02 15:55:00,5,10,7,3,3,7,17,0,1,20,2025-07-02 16:00:00,0.0,,0.65889,0.852265,0.630528,0.861614,1.157346,1.36835,4.784335,4.917549,8.427759,8.348881,4.169728,4.558137,4.046185,4.365208,4.058239,4.188751,5.868972,6.834524,9.310455,10.79501
mcllpifgvj82skgv0j,1,7,7,0,6,1,17,1,6,2025-07-02 15:56:00,6,5,7,0,6,1,10,0,1,14,2025-07-02 16:01:00,0.0,,-1.95394,-0.98872,-1.79126,-1.45685,-1.9094,-1.56941,-1.92517,-1.92498,-2.02959,-1.7882,-1.89617,-1.00692,-1.90093,-1.60757,-1.91446,-1.63607,-1.86999,-1.75884,-1.99048,-2.02817
mcllrghza5ib1834wz.777,1,6,7,6,0,13,58,0,4,2025-07-02 16:08:00,1,10,7,3,3,7,10,1,1,20,2025-07-02 16:04:00,0.0,,0.299468,-0.01782,1.75524,0.288915,3.350404,1.067372,8.504921,4.831741,12.53553,8.504107,1.215603,1.361058,1.248917,1.421407,1.725354,2.091794,6.080535,6.286776,10.401,10.35611
mcllrghza5ib1834wz.777,1,3,6,6,0,12,57,0,1,2025-07-02 16:08:00,2,12,6,6,0,12,8,1,1,24,2025-07-02 16:05:00,0.0,,4.134638,4.410051,4.091366,4.327793,4.04151,4.206392,5.80714,6.895406,9.31869,10.7924,0.657828,0.835329,0.641221,0.879046,1.160162,1.381825,4.772997,5.01914,8.383694,8.356689
mcllrghza5ib1834wz.777,1,2,7,3,3,7,55,0,5,2025-07-02 16:09:00,3,5,6,3,3,6,33,1,1,18,2025-07-02 16:06:00,0.0,,0.637365,0.813341,0.668915,0.803759,1.13115,1.305642,4.743779,5.003933,8.468937,8.454655,0.698533,0.406269,2.145248,0.643359,4.159531,1.616423,9.994916,6.158536,14.70971,10.40045
mcllrghza5ib1834wz.777,1,7,6,0,6,0,3,0,3,2025-07-02 16:09:00,4,4,7,0,6,1,0,1,1,14,2025-07-02 16:06:00,0.0,,1.168601,1.360659,1.215135,1.455191,1.690978,2.009294,6.080948,6.314535,10.35489,10.45187,4.172855,4.268453,4.035881,4.421587,4.03625,4.195108,5.759688,6.946332,9.257947,10.81098
mcllrghza5ib1834wz.777,1,8,6,3,3,6,30,0,2,2025-07-02 16:09:00,5,11,7,6,0,13,39,1,1,26,2025-07-02 16:07:00,0.0,,0.687163,0.400128,2.168058,0.649672,4.122614,1.605523,10.05044,6.027648,14.83751,10.4709,3.150948,3.470275,3.195645,3.527183,3.061532,3.300767,4.618985,5.476349,7.415971,8.697871
mcllrghza5ib1834wz.777,1,9,7,0,6,1,17,0,6,2025-07-02 16:10:00,6,1,6,0,6,0,0,1,1,12,2025-07-02 16:08:00,0.0,,3.17729,3.543284,3.170734,3.461965,3.180321,3.351983,4.596325,5.574133,7.517784,8.735269,-2.10301,-1.08697,-1.97953,-1.47413,-1.89839,-1.55445,-1.85364,-2.05667,-1.96677,-2.02977
mclly3rvc8smsr6a1a.lll,0,10,7,6,0,13,10,0,4,2025-07-02 16:11:00,1,12,6,0,6,0,0,1,0,12,2025-07-02 16:03:00,0.0,,3.10216,3.504001,3.208905,3.470416,3.21589,3.397241,4.48207,5.547082,7.498631,8.675,0.283771,-0.04118,1.706097,0.273094,3.394913,1.007251,8.529426,4.834135,12.57304,8.442477
mclly3rvc8smsr6a1a.lll,0,7,6,3,3,6,65,0,2,2025-07-02 16:12:00,2,5,6,6,0,12,25,1,0,24,2025-07-02 16:05:00,0.0,,3.984197,4.555375,4.002716,4.346424,4.076493,4.129233,5.828591,6.829461,9.351797,10.8183,3.113042,3.594322,3.241754,3.499175,3.216302,3.283782,4.582466,5.547637,7.511623,8.77232
mclly3rvc8smsr6a1a.lll,0,9,7,3,3,7,70,0,5,2025-07-02 16:12:00,3,11,7,6,0,13,30,1,0,26,2025-07-02 16:06:00,0.0,,0.654619,0.862952,0.700635,0.866872,1.128872,1.409005,4.780239,4.935929,8.386549,8.402832,0.698738,0.41255,2.128271,0.660526,4.123822,1.613714,10.05302,6.154815,14.76903,10.40436
mclly3rvc8smsr6a1a.lll,0,2,6,6,0,12,50,0,1,2025-07-02 16:13:00,4,4,6,3,3,6,55,1,0,18,2025-07-02 16:08:00,0.0,,1.168215,1.349607,1.286665,1.415975,1.731456,2.047265,6.121742,6.40895,10.42637,10.54794,3.971472,4.351897,4.025582,4.517922,4.003301,4.264341,5.855658,7.024198,9.378347,10.65238
