condition,experiment,threshold,cluster,metric,phase1_correlation,phase2_correlation,phase1_n_participants,phase2_n_participants,phase1_n_samples,phase2_n_samples,phase1_fisher_z,phase2_fisher_z,z_statistic,p_value,significant,correlation_difference
対称否定_サマリー,ex1,0.1,Cluster1,CS,-0.8412883847410682,0.43935692028671225,156,216,6,6,-1.225565999888971,0.47143361409246437,-2.078391573977269,0.03767330815843439,True,1.2806453050277804
対称否定_サマリー,ex1,0.1,Cluster1,UCS,0.2362925039210838,0.7475704241447492,156,216,6,6,0.24084370317769077,0.9674247354630946,-0.889876392941955,0.373532261128654,False,0.5112779202236654
非対称否定_オンライン,ex2,1.0,Cluster2,CS,0.6198010964637791,0.7916675062177111,174,156,6,6,0.7246820472953508,1.0758833508495573,-0.4301319953540551,0.6670996269050975,False,0.17186640975393197
非対称否定_オンライン,ex2,1.0,Cluster2,UCS,0.6941368600716439,0.8406617901486818,174,156,6,6,0.8558954581250728,1.2234257026902278,-0.45013078211246993,0.6526161423954457,False,0.14652493007703793
非対称否定_オンライン,ex2,1.0,Cluster1,CS,-0.3954730663086783,-0.0306808339020595,60,78,6,6,-0.4182712640096484,-0.03069046610455136,-0.4746875944841276,0.6350096614414962,False,0.3647922324066188
非対称否定_オンライン,ex2,1.0,Cluster1,UCS,-0.47389121568153014,-0.0802150628875882,60,78,6,6,-0.5150766311309347,-0.08038777694480446,-0.5323829448155493,0.5944607951335756,False,0.39367615279394197
非対称否定_オンライン,ex2,0.7,Cluster2,CS,0.19412372628352473,0.4321618894908074,174,156,6,6,0.19661884388450238,0.4625520155320833,-0.32570028810827384,0.7446511262286672,False,0.2380381632072827
非対称否定_オンライン,ex2,0.7,Cluster2,UCS,0.659703353215575,0.8178262939185031,174,156,6,6,0.7922882173725678,1.1502180306772933,-0.4383727031631115,0.6611161307445435,False,0.1581229407029281
非対称否定_オンライン,ex2,0.7,Cluster1,CS,-0.013401736277780893,0.20396143145425957,60,78,6,6,-0.013402538710729092,0.20686247703116303,-0.26976844837687,0.7873383976981234,False,0.21736316773204045
非対称否定_オンライン,ex2,0.7,Cluster1,UCS,-0.42955050774100345,-0.058191479190514483,60,78,6,6,-0.45934535530990933,-0.05825729656493555,-0.491230542924315,0.6232633989037211,False,0.37135902855048897
非対称否定_オンライン,ex2,0.5,Cluster2,CS,-0.42473870131131647,-0.1880292240485362,174,156,6,6,-0.45345966915590724,-0.1902933748405137,-0.3223115692859077,0.7472166694019022,False,0.23670947726278027
非対称否定_オンライン,ex2,0.5,Cluster2,UCS,0.628723127970981,0.8025476463872985,174,156,6,6,0.7393017798380714,1.1057294973030145,-0.44878046770091523,0.6535900302413922,False,0.17382451841631752
非対称否定_オンライン,ex2,0.5,Cluster1,CS,0.5543184476160468,0.5135753295634291,60,78,6,6,0.6245938711464016,0.567573924575322,0.06983488712995226,0.9443250790372173,False,0.040743118052617655
非対称否定_オンライン,ex2,0.5,Cluster1,UCS,-0.34617456446436334,0.04164077370695455,60,78,6,6,-0.3610908976948024,0.04166486650660577,-0.49327305662907484,0.6218196633978952,False,0.3878153381713179
非対称否定_オンライン,ex2,0.2,Cluster2,CS,-0.8428523310970042,-0.7790295001975753,174,156,6,6,-1.2309419503521297,-1.042897031219057,-0.23030705029947682,0.817853182507585,False,0.06382283089942886
非対称否定_オンライン,ex2,0.2,Cluster2,UCS,0.4099643073672789,0.5601544097504695,174,156,6,6,0.435568319035138,0.6330581709420711,-0.24187468327490072,0.8088772675764986,False,0.15019010238319058
非対称否定_オンライン,ex2,0.2,Cluster1,CS,0.9455815445229455,0.6222242009160952,60,78,6,6,1.7883064272775457,0.728626277283511,1.2978378290206638,0.19434306745099605,False,0.3233573436068503
非対称否定_オンライン,ex2,0.2,Cluster1,UCS,0.2675768844775766,0.5220410102691109,60,78,6,6,0.27425200917621234,0.5791412748880809,-0.37341156452295843,0.7088421537134135,False,0.25446412579153427
