condition,experiment,threshold,metric,common_samples,phase1_mean,phase1_std,phase2_mean,phase2_std,phase1_normal_p,phase2_normal_p,levene_p,t_statistic,t_pvalue,mann_whitney_u,mann_whitney_p,cohens_d,effect_size,significant_parametric,significant_nonparametric
対称否定_サマリー,ex1,0.5,CS,6,2.922542462733864,1.2204536664245231,2.044110415294028,2.2870235716317175,0.26512053977979794,0.3027601269540897,0.235594445729284,0.8300412547665619,0.4258870865822628,20.0,0.8181818181818182,0.4792245418779692,small,False,False
対称否定_サマリー,ex1,0.5,UCS,6,2.2582560226103183,1.241226602138544,1.8034407568150195,2.026822788966361,0.3219939895180735,0.5570663059979466,0.5047624592614722,0.46874664037636554,0.6493022943226225,18.0,1.0,0.27063099900302734,small,False,False
対称否定_サマリー,ex1,0.2,CS,6,6.649650276681393,2.1979025828034175,4.902856685016238,3.8921979717461506,0.2666338789033008,0.33941902080665687,0.5383412031062014,0.9572374512512732,0.3610170776345434,22.0,0.5887445887445888,0.5526613001583138,medium,False,False
対称否定_サマリー,ex1,0.2,UCS,6,5.783472106891435,0.8086581959073861,4.661482086004712,3.3016078100626594,0.5629345203342275,0.005000342041319913,0.37402544981221636,0.8085153093622697,0.4376059240700284,18.0,1.0,0.4667965315042399,small,False,False
対称否定_サマリー,ex1,0.1,CS,6,10.502228131562715,2.7434026614850358,8.073310643988805,5.536293492502452,0.707930886685116,0.3108286818058489,0.4824835416363306,0.962916445223799,0.3582958475111887,23.0,0.48484848484848486,0.5559400688570779,medium,False,False
対称否定_サマリー,ex1,0.1,UCS,6,9.564548950445264,1.0864326725971387,7.825684158176748,4.918030483105646,0.04388071638849759,0.00206410576977034,0.3520063130645138,0.8456756095008797,0.41750945683396357,16.0,0.8181818181818182,0.48825104079243375,small,False,False
非対称否定_オンライン,ex2,1.0,CS,6,1.6557128088184345,1.5313258046361125,1.680972946924635,1.55364022432526,0.11526425901415771,0.11290037660328972,0.9761963073035788,-0.028363811909140085,0.9779300610949223,16.0,0.8181818181818182,-0.01637585444098594,negligible,False,False
非対称否定_オンライン,ex2,1.0,UCS,6,1.7800378428918935,1.8091234962912495,1.7573348612534654,1.8050026296102681,0.2269546948380851,0.2721931456068358,0.9922514277436179,0.021760553312129643,0.9830670425140213,18.0,1.0,0.01256346131247325,negligible,False,False
非対称否定_オンライン,ex2,0.7,CS,6,2.161833617182754,1.2618860452980325,2.1625881590405602,1.249917370057024,0.8608542958483818,0.8697806645482302,0.9862747045428634,-0.001040598949588088,0.9991901886095033,17.0,0.9372294372294373,-0.0006007900836631243,negligible,False,False
非対称否定_オンライン,ex2,0.7,UCS,6,1.8443542644984177,1.6716537814840178,1.8367260413436115,1.6787048752914209,0.17521582861944496,0.17163945749660348,0.9945946435017519,0.007887179952090177,0.9938621343102241,19.0,0.9372294372294373,0.004553665468486283,negligible,False,False
非対称否定_オンライン,ex2,0.5,CS,6,2.916944704693009,1.2235885592122033,2.933231736438501,1.2332950889672307,0.281203184649324,0.2680122284839132,0.981824195021184,-0.02296384393679362,0.982130879144186,16.0,0.8181818181818182,-0.01325818147853635,negligible,False,False
非対称否定_オンライン,ex2,0.5,UCS,6,2.2736776683845297,1.2343208206731446,2.266028154333281,1.229469457889149,0.30590742731529963,0.30576449931284577,0.9931962924404106,0.01075523466428194,0.9916302735385701,20.0,0.8181818181818182,0.006209537628620771,negligible,False,False
非対称否定_オンライン,ex2,0.2,CS,6,6.646289756346025,2.210106198774254,6.653575425813607,2.190281534071902,0.2886348553164281,0.28011818018156454,0.9852070795767909,-0.005735413508187805,0.9955366319543246,17.0,0.9372294372294373,-0.0033113425328660452,negligible,False,False
非対称否定_オンライン,ex2,0.2,UCS,6,5.790619801077912,0.8150974388425952,5.783379972526524,0.7949891922729307,0.5182389395313063,0.5787762408796503,0.9231590540189905,0.015575277539445749,0.9878795969033685,18.0,1.0,0.008992390680102135,negligible,False,False
非対称否定_オンライン,ex2,0.1,CS,6,10.50942988722936,2.769876577973139,10.514426038861975,2.7527880616490368,0.6970446707719824,0.7022473043523318,0.9894861899078589,-0.0031338303549275754,0.9975612050609833,17.0,0.9372294372294373,-0.001809317799012056,negligible,False,False
非対称否定_オンライン,ex2,0.1,UCS,6,9.551280942374516,1.104509774977104,9.548779661130409,1.1013353286140628,0.06943672899003464,0.05756643641465291,0.9950747467543815,0.0039280561500554135,0.9969431294858138,18.0,1.0,0.002267864275626458,negligible,False,False
対称否定_オンライン,ex2,1.0,CS,6,1.6629664407800366,1.530635944162548,1.6729913709995599,1.5447652044300175,0.10860364674139572,0.1108125580682724,0.992992650930932,-0.011291863659475024,0.9912126877720755,16.0,0.8181818181818182,-0.0065193605234504575,negligible,False,False
対称否定_オンライン,ex2,1.0,UCS,6,1.7717672664457955,1.8167828381884128,1.791709304283832,1.8265562859052267,0.25199768518707527,0.22752113476365027,0.995159675743817,-0.018960902231435196,0.9852452804460476,17.0,0.9372294372294373,-0.010947082007397285,negligible,False,False
対称否定_オンライン,ex2,0.7,CS,6,2.154122809886122,1.2495426803217555,2.1584535898920496,1.2502959988372884,0.861207609163332,0.8595439561168925,0.99585368577195,-0.006001291786240577,0.995329724939771,16.0,0.8181818181818182,-0.003464847428271487,negligible,False,False
対称否定_オンライン,ex2,0.7,UCS,6,1.8360920909428389,1.6662864413499152,1.8518535196560484,1.6946585790713211,0.16830927928892286,0.1720740123776353,0.9748639249705843,-0.016244611261421984,0.9873587826998893,17.0,0.9372294372294373,-0.009378830684662809,negligible,False,False
対称否定_オンライン,ex2,0.5,CS,6,2.926404176089672,1.227493758237424,2.93435913329875,1.2278279868708903,0.28021793186830635,0.28621975305867775,0.9746267611710682,-0.011223286689782718,0.9912660518000256,17.0,0.9372294372294373,-0.006479767591538396,negligible,False,False
対称否定_オンライン,ex2,0.5,UCS,6,2.2645940639544113,1.223620757086021,2.2764914877280176,1.233254711868172,0.32072547727826345,0.29800399126051,0.9937126109768455,-0.01677478919161779,0.986946251197817,16.0,0.8181818181818182,-0.009684929055379755,negligible,False,False
対称否定_オンライン,ex2,0.2,CS,6,6.651369908416359,2.190587933297658,6.646710423971193,2.198402862696536,0.2722528277072337,0.28252310223527827,0.9960189490450453,0.0036775884834406424,0.9971380460729049,20.0,0.8181818181818182,0.0021232567008831224,negligible,False,False
対称否定_オンライン,ex2,0.2,UCS,6,5.79007369350423,0.8085205816579567,5.796109630884641,0.8114654037904379,0.6328463423408475,0.678849275918449,0.9922289046805067,-0.012906942448885642,0.9899559077230506,17.0,0.9372294372294373,-0.007451826697279132,negligible,False,False
対称否定_オンライン,ex2,0.1,CS,6,10.501316751803223,2.7529483122432232,10.5227940809665,2.74918642940297,0.6968693074153258,0.7064863078366075,0.9979779839383486,-0.01352195770318844,0.98947733851243,16.0,0.8181818181818182,-0.007806905919906579,negligible,False,False
対称否定_オンライン,ex2,0.1,UCS,6,9.577597230860158,1.0850882550795935,9.566427091705274,1.1233650439594374,0.06080136879018345,0.052204046742488776,0.7208655253730678,0.01751845355847517,0.9863676127066205,19.0,0.9372294372294373,0.010114283877771597,negligible,False,False
