CS_threshold,UCS_threshold,実験タイプ,条件,クラスタ,n,CRT_mean,estimate_mean,P(E|C),P(C|E),ΔP,CS,UCS,pARIs,DFH,Dice
0.1,0.1,サマリー,非対称否定,クラスタ1,2,2.5,64.75,0.42,-0.38,-0.598,0.188,-0.527,-0.495,-0.101,-0.495
0.1,0.1,サマリー,非対称否定,クラスタ2,37,2.361,42.833,-0.851,0.8,0.959,-0.629,0.528,0.442,0.059,0.442
0.1,0.1,サマリー,対称否定,クラスタ1,26,2.269,43.596,-0.973,0.898,0.989,-0.84,0.273,0.147,-0.105,0.147
0.1,0.1,サマリー,対称否定,クラスタ2,6,1.167,41.889,-0.275,0.323,0.496,0.033,0.676,0.655,0.352,0.655
0.01,0.01,オンライン,非対称否定,クラスタ1,10,2.2,54.683,0.787,-0.598,-0.602,0.957,0.547,0.548,0.612,0.548
0.01,0.01,オンライン,非対称否定,クラスタ2,29,2.25,27.937,-0.91,0.757,0.938,-0.624,0.165,0.164,-0.264,0.164
0.01,0.01,オンライン,対称否定,クラスタ1,14,2.286,49.75,-0.857,0.893,0.939,-0.467,0.28,0.285,0.186,0.285
0.01,0.01,オンライン,対称否定,クラスタ2,24,2.478,22.708,-0.97,0.933,0.996,-0.65,0.17,0.174,-0.014,0.174
0.01,0.01,サマリー,非対称否定,クラスタ1,2,2.5,64.75,0.42,-0.38,-0.598,0.003,-0.489,-0.495,-0.101,-0.495
0.01,0.01,サマリー,非対称否定,クラスタ2,37,2.361,42.833,-0.851,0.8,0.959,-0.399,0.429,0.442,0.059,0.442
0.01,0.01,サマリー,対称否定,クラスタ1,26,2.269,43.596,-0.973,0.898,0.989,-0.676,0.146,0.147,-0.105,0.147
0.01,0.01,サマリー,対称否定,クラスタ2,6,1.167,41.889,-0.275,0.323,0.496,0.211,0.652,0.655,0.352,0.655
