Experiment,Condition,condition_id,CS_threshold,UCS_threshold,n_trials,n_users,estimate_mean,CS_spearman,CS_pearson,UCS_spearman,UCS_pearson,optimal_n_clusters,mean_silhouette_score,cluster_separation_index
ex2,Asymmetric,0,0.5,0.5,216.0,36.0,34.004629629629626,0.052679213552208906,0.24714110658985916,0.3713998830645674,0.40670980800894063,2,0.22341431266356077,2.5262800581709284
ex2,Asymmetric,0,0.6,0.6,216.0,36.0,34.004629629629626,0.1832434018059634,0.2821131134690297,0.37140712904913475,0.3677283747399983,2,0.22341431266356077,2.5262800581709284
ex2,Asymmetric,0,0.7,0.7,216.0,36.0,34.004629629629626,0.1832434018059634,0.31567088654379877,0.40621019675783604,0.3430031314550724,2,0.22341431266356077,2.5262800581709284
ex2,Asymmetric,0,0.8,0.8,216.0,36.0,34.004629629629626,0.2586276060837259,0.3375295044939724,0.40621019675783604,0.33881243368361325,2,0.22341431266356077,2.5262800581709284
ex2,Asymmetric,0,0.9,0.9,216.0,36.0,34.004629629629626,0.29857773816338634,0.34756224066133606,0.40621019675783604,0.33401484315311536,2,0.22341431266356077,2.5262800581709284
ex2,Asymmetric,0,1.0,1.0,216.0,36.0,34.004629629629626,0.3714246401785057,0.3513007056953555,0.40620053544507967,0.33064451051646165,2,0.22341431266356077,2.5262800581709284
ex2,Symmetric,1,0.01,0.01,228.0,38.0,32.671052631578945,-0.3269021662850745,0.14585691112762844,0.24490252316219885,0.4156480744437604,2,0.278636250765744,2.6402247957683205
ex2,Symmetric,1,0.1,0.1,228.0,38.0,32.671052631578945,-0.32690474242747686,-0.03544072491130536,0.4198684476146357,0.4415428545853768,2,0.278636250765744,2.6402247957683205
ex2,Symmetric,1,0.2,0.2,228.0,38.0,32.671052631578945,-0.326917107911008,-0.07049527683573781,0.5325365508086766,0.49232953614934044,2,0.278636250765744,2.6402247957683205
ex2,Symmetric,1,0.3,0.3,228.0,38.0,32.671052631578945,-0.21608167242197926,-0.03206055061220755,0.6298173554336468,0.5763762825737646,2,0.278636250765744,2.6402247957683205
ex2,Symmetric,1,0.4,0.4,228.0,38.0,32.671052631578945,-0.17278856889399422,0.08598357975698136,0.6730991239350617,0.633353378368138,2,0.278636250765744,2.6402247957683205
ex2,Symmetric,1,0.5,0.5,228.0,38.0,32.671052631578945,0.00200990630229176,0.24146358744931787,0.6731217939882022,0.6425002970981492,2,0.278636250765744,2.6402247957683205
ex2,Symmetric,1,0.6,0.6,228.0,38.0,32.671052631578945,0.37360402143981225,0.38451208791487396,0.6731207635312413,0.6348448310269766,2,0.278636250765744,2.6402247957683205
ex2,Symmetric,1,0.7,0.7,228.0,38.0,32.671052631578945,0.37360402143981225,0.4894737741655676,0.7063803076306618,0.6291193773698467,2,0.278636250765744,2.6402247957683205
ex2,Symmetric,1,0.8,0.8,228.0,38.0,32.671052631578945,0.5064381673592309,0.5640265327190174,0.7063803076306618,0.6288327070629459,2,0.278636250765744,2.6402247957683205
ex2,Symmetric,1,0.9,0.9,228.0,38.0,32.671052631578945,0.5604258684562162,0.6017107630059327,0.7063803076306618,0.6305095004260283,2,0.278636250765744,2.6402247957683205
ex2,Symmetric,1,1.0,1.0,228.0,38.0,32.671052631578945,0.6730980934781007,0.6211993266415556,0.706377216259779,0.6289322842310617,2,0.278636250765744,2.6402247957683205
