CS_threshold,UCS_threshold,実験タイプ,条件,クラスタ,n,CRT_mean,estimate_mean,P(E|C)_pearson,P(E|C)_spearman,P(C|E)_pearson,P(C|E)_spearman,ΔP_pearson,ΔP_spearman,CS_pearson,CS_spearman,UCS_pearson,UCS_spearman,pARIs_pearson,pARIs_spearman,DFH_pearson,DFH_spearman,Dice_pearson,Dice_spearman,CS_diff_pearson,CS_diff_spearman,UCS_diff_pearson,UCS_diff_spearman,CS_ratio_pearson,CS_ratio_spearman,UCS_ratio_pearson,UCS_ratio_spearman,CS_single_pearson,CS_single_spearman,UCS_single_pearson,UCS_single_spearman
0.5,0.5,サマリー,対称否定,クラスタ1,4,0.25,43,-0.15,0.116,0.187,0.174,0.372,0.257,0.12,0.486,0.152,-0.029,0.64,0.878,0.323,0.5,0.64,0.878,-0.086,0.257,-0.588,-0.714,-0.063,-0.086,0.306,0.086,-0.049,0.257,-0.06,0.257
0.5,0.5,サマリー,対称否定,クラスタ2,27,2.296,42.877,-0.971,-0.87,0.899,0.986,0.989,1,-0.25,-0.086,0.905,0.943,0.158,0.293,-0.095,0.147,0.158,0.293,-0.968,-0.829,-0.107,-0.314,-0.025,0.429,-0.469,-0.543,-0.958,-0.829,-0.962,-0.829
0.4,0.4,オンライン,非対称否定,クラスタ1,10,2.2,54.683,0.787,0.812,-0.598,-0.638,-0.602,-0.543,0.805,0.829,-0.52,-0.6,0.548,0.488,0.612,0.618,0.548,0.488,,,,,,,,,,,,
0.4,0.4,オンライン,非対称否定,クラスタ2,26,2.308,26.051,-0.89,-0.638,0.726,0.696,0.924,0.771,-0.712,-0.6,0.686,0.714,0.181,0.293,-0.282,-0.147,0.181,0.293,,,,,,,,,,,,
0.4,0.4,オンライン,対称否定,クラスタ1,14,2.286,49.75,-0.857,-0.928,0.893,0.986,0.939,0.943,-0.274,-0.429,0.814,0.886,0.285,0.098,0.186,0.029,0.285,0.098,-0.809,-0.886,-0.924,-0.886,0.577,0.429,-0.316,0.086,-0.781,-0.886,-0.744,-0.829
0.4,0.4,オンライン,対称否定,クラスタ2,24,2.478,22.708,-0.97,-0.87,0.933,0.986,0.996,1,-0.509,-0.371,0.902,0.943,0.174,0.293,-0.014,0.147,0.174,0.293,-0.953,-0.829,-0.865,-0.943,0.527,0.486,-0.001,0.143,-0.938,-0.829,-0.931,-0.886
0.4,0.4,サマリー,非対称否定,クラスタ1,2,2.5,64.75,0.42,-0.074,-0.38,-0.147,-0.598,-0.087,0.225,0.087,-0.254,0.174,-0.495,-0.495,-0.101,0.045,-0.495,-0.495,,,,,,,,,,,,
0.4,0.4,サマリー,非対称否定,クラスタ2,37,2.361,42.833,-0.851,-0.696,0.8,0.899,0.959,0.943,-0.462,-0.429,0.782,0.886,0.442,0.488,0.059,0.059,0.442,0.488,,,,,,,,,,,,
0.4,0.4,サマリー,対称否定,クラスタ1,4,0.25,43,-0.15,0.116,0.187,0.174,0.372,0.257,0.099,0.257,0.124,-0.029,0.64,0.878,0.323,0.5,0.64,0.878,-0.06,0.257,-0.419,-0.429,-0.017,-0.257,-0.92,-0.6,-0.032,0.257,-0.065,0.086
0.4,0.4,サマリー,対称否定,クラスタ2,27,2.296,42.877,-0.971,-0.87,0.899,0.986,0.989,1,-0.588,-0.371,0.872,0.943,0.158,0.293,-0.095,0.147,0.158,0.293,-0.957,-0.829,-0.824,-0.943,0.472,0.486,0.051,0.143,-0.949,-0.829,-0.961,-0.886
0.3,0.3,オンライン,非対称否定,クラスタ1,10,2.2,54.683,0.787,0.812,-0.598,-0.638,-0.602,-0.543,0.918,0.943,-0.375,-0.314,0.548,0.488,0.612,0.618,0.548,0.488,,,,,,,,,,,,
0.3,0.3,オンライン,非対称否定,クラスタ2,26,2.308,26.051,-0.89,-0.638,0.726,0.696,0.924,0.771,-0.828,-0.543,0.37,0.314,0.181,0.293,-0.282,-0.147,0.181,0.293,,,,,,,,,,,,
0.3,0.3,オンライン,対称否定,クラスタ1,14,2.286,49.75,-0.857,-0.928,0.893,0.986,0.939,0.943,-0.506,-0.543,0.542,0.543,0.285,0.098,0.186,0.029,0.285,0.098,-0.794,-0.886,-0.933,-0.943,0.683,0.543,0.968,0.943,-0.772,-0.886,-0.709,-0.657
0.3,0.3,オンライン,対称否定,クラスタ2,24,2.478,22.708,-0.97,-0.87,0.933,0.986,0.996,1,-0.73,-0.429,0.627,0.6,0.174,0.293,-0.014,0.147,0.174,0.293,-0.94,-0.829,-0.945,-1,0.67,0.6,0.909,1,-0.927,-0.829,-0.911,-0.771
