user_id,Cond,ex1_estimate,ex2_estimate,cluster_summary,cluster_online
mclnbnntty9d24j2hz.sss,0,48.0,24.5,0.0,0.0
mclnboj993uko4i8wg.wee,0,42.5,60.833333333333336,0.0,1.0
mclnbskcktx7zfb0ps.i,1,55.0,24.666666666666668,1.0,1.0
mclnc5k13y5h6xb29t.ass,0,54.666666666666664,41.833333333333336,1.0,1.0
mclnca3grblvnut6p9.777,1,55.833333333333336,30.833333333333332,1.0,1.0
mclncm1luszxoo3uka.p77,1,19.5,20.5,0.0,1.0
mclncn9cnikcpb6irr.777,1,35.166666666666664,13.5,0.0,1.0
mclncramut1rac356b,1,53.666666666666664,16.666666666666668,1.0,1.0
mclncsw68y86dyh3wu.p77,1,51.666666666666664,58.333333333333336,1.0,0.0
mclnct0ngnftgawlpv.ass,0,42.166666666666664,25.833333333333332,0.0,0.0
mclncw9jiiaqcj0fy3.sss,0,42.5,46.666666666666664,0.0,1.0
mclnd1qnl9snabc766,1,39.0,50.666666666666664,0.0,0.0
mclnd6dtzytsyfh1q6,1,43.333333333333336,44.166666666666664,1.0,0.0
mclndafuqa7pm5xn1i.wee,0,38.833333333333336,17.666666666666668,0.0,0.0
mclndk0flkvlbgpgun,0,39.0,36.666666666666664,0.0,1.0
mclne5rq7aey1iecmo.i,1,50.833333333333336,39.833333333333336,1.0,0.0
mclne6s23zl4eencpb.ass,1,40.0,22.0,0.0,1.0
mclneqtpbcq144lby5.3ll,0,61.5,27.5,1.0,0.0
mclnf61nxxfs2hhszf.eee,1,43.333333333333336,40.0,1.0,0.0
mclnfklrloomvoajvr,0,35.833333333333336,51.5,0.0,1.0
mclngfqok0z1b5gpjz.lll,1,43.5,20.666666666666668,1.0,1.0
mclnhac133co78a5yp,0,42.666666666666664,48.333333333333336,0.0,1.0
mclnhpg0zl8l8kievk.ass,0,38.333333333333336,13.333333333333334,0.0,0.0
mclnj85zbia36mnrok.777,0,25.833333333333332,25.0,0.0,0.0
mclnmp0njjctosa2t9,1,51.5,65.83333333333333,1.0,0.0
mclno8m57qwge0r9id.ass,1,31.833333333333332,28.833333333333332,0.0,1.0
mclnrvzltrywxh6ry2.p77,0,41.666666666666664,22.5,0.0,0.0
mclnupe9cnfgefllez6.ee,1,40.833333333333336,51.666666666666664,0.0,0.0
mclnvqr5bhj8trxh7b.sss,0,41.666666666666664,35.833333333333336,0.0,1.0
mclnxdwfdpg6d6vy5f6.ss,1,43.5,31.5,1.0,1.0
mclnxg12nslkx6s7x2.ass,0,32.0,48.166666666666664,0.0,1.0
mclo0otcab0fp27vrv.lll,1,35.833333333333336,21.5,0.0,1.0
mclo5kvjtcbj13yygz.777,0,38.333333333333336,-5.166666666666667,0.0,0.0
mcloaebpimji2fsu2s,1,46.833333333333336,35.0,1.0,0.0
mcloe7cr6y10aoqd75.000,1,45.833333333333336,35.833333333333336,1.0,0.0
mclox5fcxonyezd8ie,0,30.666666666666668,30.666666666666668,0.0,0.0
mclpy1vlpdfd13mxzw.sss,0,37.166666666666664,38.833333333333336,0.0,1.0
mcltqyjvrajhhop1ht.777,0,71.83333333333333,63.333333333333336,1.0,1.0
mcmv3k79c61u7ugyx1,1,55.166666666666664,50.333333333333336,1.0,0.0
