CS_threshold,UCS_threshold,実験タイプ,条件,CRT_mean,estimate_mean,P(E|C)_pearson,P(E|C)_spearman,P(C|E)_pearson,P(C|E)_spearman,ΔP_pearson,ΔP_spearman,CS_pearson,CS_spearman,UCS_pearson,UCS_spearman,pARIs_pearson,pARIs_spearman,DFH_pearson,DFH_spearman,Dice_pearson,Dice_spearman,CS_diff_pearson,CS_diff_spearman,UCS_diff_pearson,UCS_diff_spearman,CS_ratio_pearson,CS_ratio_spearman,UCS_ratio_pearson,UCS_ratio_spearman,CS_single_pearson,CS_single_spearman,UCS_single_pearson,UCS_single_spearman
0.2,0.2,サマリー,非対称否定,2.368,43.957,-0.858,-0.696,0.807,0.899,0.963,0.943,-0.674,-0.486,0.909,0.943,0.435,0.488,0.057,0.059,0.435,0.488,,,,,,,,,,,,
0.2,0.2,サマリー,対称否定,2.032,42.892,-0.954,-0.87,0.888,0.986,0.996,1,-0.811,-0.657,0.948,1,0.225,0.293,-0.055,0.147,0.225,0.293,0.964,0.943,0.944,1,0.166,-0.429,-0.534,-0.486,,,,
0.1,0.1,オンライン,非対称否定,2.278,34.005,-0.802,-0.638,0.666,0.696,0.892,0.771,-0.636,-0.543,0.804,0.6,0.359,0.293,-0.154,-0.147,0.359,0.293,,,,,,,,,,,,
0.1,0.1,オンライン,対称否定,2.405,32.671,-0.935,-0.928,0.933,0.986,0.989,0.943,-0.739,-0.771,0.908,0.886,0.233,0.098,0.085,0.029,0.233,0.098,0.968,0.829,0.954,0.886,-0.364,-0.371,0.166,-0.029,,,,
0.1,0.1,サマリー,非対称否定,2.368,43.957,-0.858,-0.696,0.807,0.899,0.963,0.943,-0.636,-0.486,0.893,0.943,0.435,0.488,0.057,0.059,0.435,0.488,,,,,,,,,,,,
0.1,0.1,サマリー,対称否定,2.032,42.892,-0.954,-0.87,0.888,0.986,0.996,1,-0.791,-0.657,0.835,0.943,0.225,0.293,-0.055,0.147,0.225,0.293,0.987,0.943,0.912,0.943,-0.209,-0.429,0.294,-0.2,,,,
0.01,0.01,オンライン,非対称否定,2.278,34.005,-0.802,-0.638,0.666,0.696,0.892,0.771,-0.423,-0.543,0.037,-0.486,0.359,0.293,-0.154,-0.147,0.359,0.293,,,,,,,,,,,,
0.01,0.01,オンライン,対称否定,2.405,32.671,-0.935,-0.928,0.933,0.986,0.989,0.943,-0.571,-0.771,-0.819,-0.943,0.233,0.098,0.085,0.029,0.233,0.098,0.984,0.943,0.641,0.371,-0.676,-0.371,0.068,-0.2,,,,
0.01,0.01,サマリー,非対称否定,2.368,43.957,-0.858,-0.696,0.807,0.899,0.963,0.943,-0.416,-0.486,-0.354,-0.371,0.435,0.488,0.057,0.059,0.435,0.488,,,,,,,,,,,,
0.01,0.01,サマリー,対称否定,2.032,42.892,-0.954,-0.87,0.888,0.986,0.996,1,-0.61,-0.657,0.614,0.543,0.225,0.293,-0.055,0.147,0.225,0.293,0.99,1,0.619,0.486,-0.563,-0.429,0.175,-0.143,,,,
